AB193724	17	27	1492	s93	Methylophilus methylotrophus	type sp.	Methylophilaceae	1	http://www.bacterio.net/methylophilus.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Methylophilales	Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylophilus
Y18216	21	1	1466	s93	Phenylobacterium immobile	type sp.	Caulobacteraceae	1	http://www.bacterio.net/phenylobacterium.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhizobiales;Caulobacterales	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium
AY653177	23	1	1498	s93	Shewanella colwelliana		Shewanellaceae	1	http://www.bacterio.net/shewanella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Shewanellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
X81623	24	19	1522	s93	Shewanella putrefaciens	type sp.	Shewanellaceae	1, +	http://www.bacterio.net/shewanella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Shewanellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
X82132	25	29	1442	s93	Shewanella hanedai		Shewanellaceae	1	http://www.bacterio.net/shewanella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Shewanellaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
DQ768117	33	1	1493	s93	Myxococcus fulvus	type sp.	Myxococcaceae	1	http://www.bacterio.net/myxococcus.html	Bacteria;Delta and Epsilonproteobacteria;Myxococcales;Cystobacterineae;Archangiaceae and Myxococcaceae;Myxococcaceae	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacterineae;Myxococcaceae;Myxococcus
DQ768116	34	1	1493	s93	Myxococcus xanthus		Myxococcaceae	1	http://www.bacterio.net/myxococcus.html	Bacteria;Delta and Epsilonproteobacteria;Myxococcales;Cystobacterineae;Archangiaceae and Myxococcaceae;Myxococcaceae	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacterineae;Myxococcaceae;Myxococcus
AJ811623	35	1	1522	s93	Corallococcus macrosporus		Myxococcaceae	1	http://www.bacterio.net/corallococcus.html	Bacteria;Delta and Epsilonproteobacteria;Myxococcales;Cystobacterineae;Archangiaceae and Myxococcaceae;Myxococcaceae	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacterineae;Myxococcaceae;Corallococcus
DQ768127	41	1	1502	s93	Stigmatella aurantiaca	type sp.	Archangiaceae	1	http://www.bacterio.net/stigmatella.html	Bacteria;Delta and Epsilonproteobacteria;Myxococcales;Cystobacterineae;Archangiaceae and Myxococcaceae	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacterineae;Archangiaceae;Stigmatella
DQ768126	45	1	1493	s93	Melittangium lichenicola		Archangiaceae	1	http://www.bacterio.net/melittangium.html	Bacteria;Delta and Epsilonproteobacteria;Myxococcales;Cystobacterineae;Archangiaceae and Myxococcaceae;Myxococcaceae	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacterineae;Archangiaceae;Melittangium
DQ768106	48	1	1491	s93	Archangium gephyra	type sp.	Archangiaceae	1	http://www.bacterio.net/archangium.html	Bacteria;Delta and Epsilonproteobacteria;Myxococcales;Cystobacterineae;Archangiaceae and Myxococcaceae	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacterineae;Archangiaceae;Archangium
AJ233938	51	1	1534	s119	Chondromyces apiculatus		Polyangiaceae	1	http://www.bacterio.net/chondromyces.html	Bacteria;Delta and Epsilonproteobacteria;Myxococcales;Sorangiineae;Polyangiaceae	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sorangiineae;Polyangiaceae;Chondromyces
GU207874	52	1	1497	s119	Chondromyces crocatus	type sp.	Polyangiaceae	1	http://www.bacterio.net/chondromyces.html	Bacteria;Delta and Epsilonproteobacteria;Myxococcales;Sorangiineae;Polyangiaceae	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sorangiineae;Polyangiaceae;Chondromyces
AB084253	54	1	1480	s93	Nannocystis exedens	type sp.	Nannocystaceae	1	http://www.bacterio.net/nannocystis.html	Bacteria;Delta and Epsilonproteobacteria;Myxococcales;Nannocystineae;Nannocystaceae	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystineae;Nannocystaceae;Nannocystis
